,date,home_team,score,away_team
488,05-11-2022,Valladolid,2 - 1,Elche
489,08-11-2022,Ath Bilbao,3 - 0,Valladolid
490,30-12-2022,Valladolid,0 - 2,Real Madrid
491,07-01-2023,Mallorca,1 - 0,Valladolid
492,14-01-2023,Valladolid,0 - 1,Vallecano
493,21-01-2023,Ath Madrid,3 - 0,Valladolid
494,29-01-2023,Valladolid,1 - 0,Valencia
495,05-02-2023,Sociedad,0 - 1,Valladolid
496,12-02-2023,Valladolid,0 - 0,Osasuna
497,18-02-2023,Betis,2 - 1,Valladolid
498,26-02-2023,Celta,3 - 0,Valladolid
499,05-03-2023,Valladolid,2 - 1,Espanol
500,11-03-2023,Elche,1 - 1,Valladolid
501,17-03-2023,Valladolid,1 - 3,Ath Bilbao
502,02-04-2023,Real Madrid,6 - 0,Valladolid
503,09-04-2023,Valladolid,? - ?,Mallorca
504,13-08-2022,Barcelona,0 - 0,Vallecano
505,19-08-2022,Espanol,0 - 2,Vallecano
506,27-08-2022,Vallecano,0 - 2,Mallorca
507,04-09-2022,Osasuna,2 - 1,Vallecano
508,10-09-2022,Vallecano,2 - 1,Valencia
509,17-09-2022,Ath Bilbao,3 - 2,Vallecano
510,03-10-2022,Vallecano,2 - 1,Elche
511,08-10-2022,Almeria,3 - 1,Vallecano
512,14-10-2022,Vallecano,0 - 0,Getafe
513,18-10-2022,Ath Madrid,1 - 1,Vallecano
514,22-10-2022,Vallecano,5 - 1,Cadiz
515,29-10-2022,Sevilla,0 - 1,Vallecano
516,07-11-2022,Vallecano,3 - 2,Real Madrid
517,10-11-2022,Vallecano,0 - 0,Celta
518,29-12-2022,Girona,2 - 2,Vallecano
519,08-01-2023,Vallecano,1 - 2,Betis
520,14-01-2023,Valladolid,0 - 1,Vallecano
521,21-01-2023,Vallecano,0 - 2,Sociedad
522,30-01-2023,Villarreal,0 - 1,Vallecano
523,06-02-2023,Vallecano,2 - 0,Almeria
524,12-02-2023,Getafe,1 - 1,Vallecano
525,19-02-2023,Vallecano,1 - 1,Sevilla
526,25-02-2023,Cadiz,1 - 0,Vallecano
527,05-03-2023,Vallecano,0 - 0,Ath Bilbao
